product_title,product_price,reviews_num,link,rating
"Samsung Galaxy Tab A11, Wifi, Android Tablet, Gray, 8GB RAM, 128GB Storage, 8.7"" Screen (KSA Version)",640.53,(109),https://www.amazon.sa/-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FQ5XPNH7,4
"Samsung Galaxy Tab A11+, WiFi, Android Tablet, Silver, 6GB RAM, 128GB Storage, 11"" Screen (KSA Version)",799.00,(51),https://www.amazon.sa/-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FZBHY4F7,4
"HONOR Pad X8b WiFi Tablet 11-Inch 90Hz FHD Display, 10100mAh Battery, 4GB RAM + 64GB Expandable Storage (Up to 1TB), SGS 5-Star Drop Resistance, 4 Speakers, 15W Fast Charging, Metal Body, Space Grey",799.00,(31),https://www.amazon.sa/-/en/HONOR-10100mAh-Expandable-Resistance-Speakers/dp/B0GZWHPD35,4
"HUAWEI MatePad SE 11'' 4+128GB Grey Tablet, FullView Display, Large Capacity Battery, Without Pen, 1-Year Amazon Exclusive Huawei Care+",699.00,(6),https://www.amazon.sa/-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0G9VMXB18,3
"HUAWEI MatePad SE 11'' 8+128GB Nebula Grey Tablet, FullView Display, Large Capacity Battery, 1-Year Amazon Exclusive Huawei Care+",799.00,(13),https://www.amazon.sa/-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0GFWRDWZD,4
"OTEETO TAB 11 Pro Tablet/10.1 Inch IPS LCD/8GB RAM + 512 GB ROM/5G Network/6000 mAh/8MP Front + 13MP Rear Camera/Octa Core 1.3GHz/Android 13/Includes Keyboard,Touch Pen,Mouse (Blue)",350.75,(83),https://www.amazon.sa/-/en/OTEETO-TAB-11-Pro-Keyboard/dp/B0CW36162D,2
"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue","1,834.53",(1.2K),https://www.amazon.sa/-/en/Apple-iPad-11-inch-Display-All-Day/dp/B0DZ77H5J7,4
"Android Tablet 11″ – Philips T7310, 8GB RAM + 128GB ROM, 1TB Expandable, Octa-Core T616, 7200mAh Battery, HD Eye Protection Display, WiFi 6, Dual Cameras, Android 16, Gemini AI (T7310-WIFI)",599.00,(9),https://www.amazon.sa/-/en/Android-Tablet-11%E2%80%B3-Expandable-Protection/dp/B0GPCHFPSH,3
"TABWEE Tablet 10 Inch Android 16 Tablet with Keyboard, 24GB RAM (8+16GB Ext.) 256GB ROM (2TB TF Expand), Octa-Core 2 in 1 Android Tablet, 5G WiFi, 5000mAh, GPS, Gemini AI, Space Gray",399.99,(192),https://www.amazon.sa/-/en/TABWEE-Android-Keyboard-Octa-Core-5000mAh/dp/B0F991H9R9,4
"HONOR Pad 9 5G, 12.1"", 128GB 8GB Ram, Space Grey","1,005.88",(3),https://www.amazon.sa/-/en/HONOR-12-1-128GB-Space-Grey/dp/B0H2MZ9ZKV,5
"HONOR PAD X9a, 11.5"" HONOR Fullview Display, 8300mAh Long Life, Thin Metal Design, Grey, WIFI",805.15,(60),https://www.amazon.sa/-/en/HONOR-Fullview-Display-8300mAh-Design/dp/B0FQCSLX87,4
"Lenovo Idea Tab, 11 INCH, 2.5K, 2560x1600, LUNA GREY, MediaTek® Dimensity 6300 OC, 8GB Ram, 256GB Storage, WIFI, 7040 mAh Battery, with Folio Case and Pen, TB336FU, ZAFR0843SA","1,199.00",(9),https://www.amazon.sa/-/en/Lenovo-2560x1600-MediaTek%C2%AE-TB336FU-ZAFR0843SA/dp/B0FRNB54XY,4
Redmi Pad 2 9.7 Graphite Gray 4GB RAM 64GB WiFi Inbox Cover - Global Version,524.99,(1),https://www.amazon.sa/-/en/Redmi-Graphite-Gray-Inbox-Cover/dp/B0GXZF1HDJ,4
"TABWEE T90 Android 16 Tablet - 11 Inch FHD Display, 24GB RAM+128GB ROM /2TB TF, 13MP Camera, 8000mAh, Widevine L1, Gemini AI, GPS, Tablet with Keyboard and Pen",699.99,(1K),https://www.amazon.sa/-/en/TABWEE-T90-Android-16-Tablet/dp/B0FH22N7GK,4
"HONOR Magic Pad 3 13.3"" Tablet with Magic Pencil & Smart Keyboard, 16GB RAM 512GB Storage, 165Hz 3.2K Eye Comfort Display, Snapdragon 8 Gen 3, 12450mAh Battery, 8 Speakers, PC-Level Productivity, Gray","2,899.00",(11),https://www.amazon.sa/-/en/HONOR-Keyboard-Snapdragon-12450mAh-Productivity/dp/B0FMY8QNNX,4
"Tablet 2026 World's First Android 16 Tablet with Gemini AI, 11 Inch FHD Display, 24GB RAM 128GB ROM /2TB TF, T7250 CPU+13MP Camera, 8000mAh, Widevine L1, 2 in 1 Tablets with Stylus",999.99,(529),https://www.amazon.sa/-/en/Android-Display-8000mAh-Widevine-Tablets/dp/B0F137P9DJ,4
HONOR Pad 10 12.1 Inch Wi-Fi Tablet 8GB RAM 256GB ROM Gray Bundle with Free Keyboard Case & Honor Choice Pencil - UAE Version,"1,383.90",(183),https://www.amazon.sa/-/en/HONOR-Tablet-Bundle-Keyboard-Choice/dp/B0FDH43N59,3
"Samsung Galaxy Tab A11+, 27.82 cm (11 inch) Display, 8 GB RAM, 256 GB Storage, 90Hz Refresh Rate, AI with Google Gemini, Dolby Atmos, Quad Speakers, Wi-Fi + 5G Tablet | International Version (Gray)","1,274.00",(111),https://www.amazon.sa/-/en/Samsung-Display-Storage-Speakers-International/dp/B0G1C5TGDS,4
"Lenovo Tab One with Clear Case, 9"" HD (1340x800) IPS 480nits Anti-fingerprint, Touch display, MediaTek Helio G85 processor, 4GB RAM, 128GB, Android 14 - [ZAF00123AE], Luna Grey",575.00,(30),https://www.amazon.sa/-/en/Lenovo-1340x800-Anti-fingerprint-MediaTek-processor/dp/B0FG1NN154,4
"Xiaomi Pad 7 8+ 256GB Mi Tablet, Display 12.1 Inches, Standby Time up to 33.9 Days, Blue","1,298.00",(18),https://www.amazon.sa/-/en/Xiaomi-Tablet-Display-Inches-Standby/dp/B0F4254MG1,3
"TABWEE T60 Android 16 Tablet with Keyboard, 12.2 Inch QHD+ Display (1600x2400), 48GB RAM 256GB ROM, 10000mAh Battery, 4G Tablet with SIM Card Slot, 16MP Camera, Gemini AI, GPS (4-Year Warranty）",899.99,(118),https://www.amazon.sa/-/en/TABWEE-T60-Keyboard-1600x2400-Warranty%EF%BC%89/dp/B0FVL67HHY,4
"Samsung Galaxy Tab S10+, AI Tablet, Android Tablet, WIFI, 12GB RAM, 256GB Storage, AMOLED Display, Anti-reflection, Durable, S Pen Included, Moonstone Gray (KSA Version)","3,203.08",(86),https://www.amazon.sa/-/en/Samsung-Android-Anti-reflection-Included-Moonstone/dp/B0DJD3W51Q,4
Lenovo Tab One Tablet | 8.7 Inch 1340 x 800 LCD Display | MediaTek Helio G85 | 4GB RAM | 64GB Memory | Android 14 | Luna Grey | Includes Folio Case,398.48,(212),https://www.amazon.sa/-/en/Lenovo-Tab-One-Display-MediaTek/dp/B0F5WZRFFT,3
